Winery Name,State,
Foppiano Vineyards,CA,
Forchini Vineyards & Winery,CA,
Forestedge Winery,MN,
Forest Glen Winery,CA,
Forgeron Cellars,WA,
Foris Vineyards,OR,
Forks Of Cheat Winery,WV,
Fort Bowie Vineyards And Orchard Products,AZ,
Forth Vineyards,CA,
Fortino Winery,CA,
Fort Ross Vineyard & Winery,CA,
Fort Walla Walla Cellars,WA,
Four Chimneys Organic Wines,NY,
Four Gates Winery,CA,
Four Jg's Orchards & Vineyards,NJ,
"Four Sisters Winery, The",NJ,
Four Vines Winery,CA,
Four Winds Vineyard,NE,
Foxburg Wine Cellars,PA,
Fox Creek Vineyards Co.,IL,
Foxen Winery and Vineyard,CA,
Fox Estate Winery,WA,
Fox Leap Vineyards,PA,
Fox Ridge Winery,PA,
Fox Run Vineyards,NY,
Fox Valley Winery,IL,
Fox Vineyards & Winery,GA,
Fralich Vineyard & Winery,CA,
Fralich Winery,CA,
Franciscan Estates,CA,
Frank Family Vineyards,CA,
Franklin Hill Vineyards,PA,
Franus Wine Company,CA,
Frascone Winery,TX,
Frasinetti's Winery,CA,
Fratelli Desiato Vineyards,PA,
Fratelli Perata,CA,
Frazier Winery,CA,
Fredericksburg Winery,TX,
Freeman Vineyard & Winery,CA,
Freemark Abbey,CA,
Freestone Wines,CA,
Freja Cellars,OR,
French Camp Vineyards,CA,
French Creek Ridge Vineyards,PA,
French Hill Winery,CA,
French Lick Winery,IN,
Frenchman's Gulch Winery,ID,
Frenz Vineyard And Winery,CA,
Fresno State Winery,CA,
Frey Vineyards,CA,
Frias Family Vineyards,CA,
Frick Winery,CA,
Fritz Winery,CA,
Frog's Leap Winery,CA,
Frogtown Cellars,GA,
Frontenac Point Vineyards,NY,
F. Teldeschi Winery,CA,
Fulkerson Winery,NY,
Furnace Brook Winery At Hilltop Orchards,MA,
Furrow Vineyard & Winery,IL,
Futo Family Estate,CA,
Gabriele Rausse Winery,VA,
Gabrielli Winery & Vineyards,CA,
Gainey Vineyard,CA,
Galante Vineyards,CA,
Galena Cellars Winery,IL,
Galena Summit Winery,ID,
Galen Glen Vineyards,PA,
Galleano Winery,CA,
Galleron Signature Wines,CA,
"Gallo, E & J Winery",CA,
Gallo Sonoma,CA,
Galluccio Family Wineries,NY,
Gamba Wineyards & Winery,CA,
Gan Eden Wines,CA,
Garden Creek Winery,CA,
Garden Gate Vineyards,NC,
Garfield Estates Vineyard & Winery,CO,
Gargiulo Vineyard,CA,
Garretson Wine Company,CA,
Garre Vineyard & Winery,CA,
Gary Farrell,CA,
Gekkeikan Sake,CA,
Gemstone Vineyard,CA,
Genkota Winery,IL,
Georgetown Vineyards,OH,
Georis Winery,CA,
Gerber Vineyards,CA,
Germain-Robin,CA,
Germanton Winery,NC,
Geyser Peak Winery,CA,
G. Graham Wines,CA,
Giancarelli Bros. Winery,NY,
Gibbons Lane Winery,WA,
Giessinger Winery,CA,
Gill's Pier Vineyard & Winery,MI,
Ginger Creek Vineyards,NC,
Girardet Wine Cellars,OR,
Girard Winery,CA,
Glades Pike Winery,PA,
Glen Fiona,WA,
Glen Haven Farm,NY,
Glenlyon Vineyards & Winery,CA,
Glenora Winery,NY,
Glenwood Oaks Winery,CA,
Gloria Ferrer Champagne Caves,CA,
Gloria Winery,MO,
Glunz Family Winery,IL,
Gneiss Winery,CA,
Gnekow Family Winery,CA,
Godspeed Vineyards,CA,
Gold Digger Cellars,WA,
Goldeneye,CA,
Golden State Vintners Napa,CA,
Gold Hill Vineyard,CA,
Gold Mine Winery,CA,
Gold Ridge Pinot,CA,
Gold Seal Vineyards,NY,
Goodale Orchards Winery / Russell Orchards,MA,
Good Harbor Vineyards/winery,MI,
Goosecross Cellars,CA,
Goose Ridge Estate Vineyards And Winery,OR,
Goose Watch Winery,NY,
Gordon Brothers Cellars,WA,
Gouveia Vineyards,CT,
Grace Family Vineyards,CA,
Graeser Winery,CA,
Grande River Vineyards,CO,
Grande Wine Cellars,OH,
Grand View Winery,VT,
Granite Springs Winery,CA,
Granville Wines,OR,
Grape Creek Vineyard,TX,
Grape Inspirations Winery,IN,
Grape Leaf Cellars,CA,
Grape Ranch,OK,
"Grape Vine Winery, The",IA,
Gray Ghost,VA,
Gray Haven Winery,VA,
Graystone Winery & Vineyards,CO,
"Great Land Wines, Ltd.",AK,
Grebennikoff Vineyards,CA,
Greenbank Cellars,WA,
Green Family Winery,CA,
Greenfield Vineyards and Winery,OK,
Green & Red Vineyard,CA,
Greenvale Vineyards,RI,
Greenwood Ridge Vineyards,CA,
Gregory Graham Wine,CA,
Grey Fox Vineyards,CA,
Grey Wolf Cellars,CA,
Grgich Hills Cellars,CA,
Gristina Vineyards,NY,
Groth Vineyards & Winery,CA,
Grove Street Winery,CA,
Gruet Winery,NM,
Guenoc & Langtry Vineyards & Winery,CA,
Guglielmo Winery,CA,
Guilford Ridge Vineyard,VA,
Gundlach Bundschu Winery,CA,
Guy Drew Vineyards,CO,
Gypsy Dancer Estates,OR,
Haak Vineyards & Winery,TX,
Habersham Winery,GA,
Hagafen Cellars,CA,
Hahn Estates,CA,
Haight Vineyard,CT,
Hakusan Sake,CA,
Half Moon Bay Winery,CA,
Hallcrest Vineyards,CA,
Hamacher Wines,OR,
Hamilton Oaks Vineyard,CA,
Handley Cellars,CA,
Hanna Winery,CA,
Hanover Park Vineyard,NC,
Hans Fahden Vineyards,CA,
Hanzell Vineyards,CA,
Hargrave Vineyard,NY,
Harlan Estate,CA,
Harlequin Wine Cellars,WA,
Harmony Cellars,CA,
Harmony Hill Vineyards and Estate Winery,OH,
Harpersfield Vineyard,OH,
Harrison Vineyards,CA,
Harrow Cellars,CA,
Hartford Family Winery,CA,
Hartwell Vineyards,CA,
Hart Winery,CA,
Hartwood Winery,VA,
Harvest Moon Winery,CA,
Hauer Of The Dauen,OR,
Havens Wine Cellars,CA,
Hawk Shadow Vineyard,PA,
Hawley Wine,CA,
Haywood Winery,CA,
Hazlitt 1852 Vineyards,NY,
Heartland Vineyards,OH,
Heart Of The Desert,NM,
Heart Of The Vineyard,MI,
Hedges Cellars,WA,
Hegy's South Hills Winery,ID,
Heidrun Meadery,CA,
Heimhof Winery,KS,
Heineman's Winery,OH,
Heinrichshaus Vineyard & Winery,MO,
Heitz Wine Cellar,CA,
Helena View,CA,
Heller Estate,CA,
Hells Canyon Winery,ID,
Helvetia Winery & Vineyards,OR,
Hemman Winery,MO,
Hemp Wine America,NY,
Hendry Winery,CA,
Henke Winery,OH,
Henry Estate Winery,OR,
Henscratch Farms Vineyard & Winery,FL,
Herb Lamb Vineyards,CA,
Heritage Pointe Vineyards,KY,
Heritage Trail Vineyards,CT,
Heritage Vineyards Of Richwood,NJ,
Heritage Wine Cellars,PA,
Heritage Wine & Cheese Haus,IA,
Hermannhof Winery,MO,
Hermann J. Wiemer Vineyard,NY,
"Hermosa Vineyards, Llc",CO,
Heron Hill Vineyards,NY,
Heron Wines,CA,
Hickory Hill Vineyards,VA,
Hickory Hollow Wine Cellars / Highland Cellars,NY,
Hidden Brook Winery,VA,
Hidden Cellars Winery,CA,
Hidden Ranch Winery,CA,
Hidden Springs Winery,TX,
High Hill Vineyards,MA,
Highland Manor Winery,TN,
Highlands Harvest Vineyards,VA,
Highland Winery,KY,
High Pass Winery,OR,
Hightower Cellars,WA,
High Valley Vineyard,CA,
Hill Prairie Winery,IL,
Hill Top Berry Farm & Winery,VA,
Hinnant Family Vineyard,NC,
Hinzerling Vineyards,WA,
Hip Chicks Do Wine,OR,
Hitching Post Wines,CA,
Hogue Cellars,OR,
Holdredge Wines,CA,
Holesinsky Vines,ID,
Holloran Vineyard Wines,OR,
Holly Ridge Winery,TN,
Hollys Hill Vineyard,CA,
Holy-Field Vineyard & Winery,KS,
Homestead Winery,TX,
Homewood Winery,CA,
Honeyrun Winery,CA,
Honeywood Winery,OR,
Honig Vineyard & Winery,CA,
Hood River Vineyards,OR,
Hoodsport Winery,WA,
Hook & Ladder Vineyards and Winery,CA,
Hopewell Valley Vineyards,NJ,
Hop Kiln Winery,CA,
Hopkins Vineyard,CT,
Horizon Cellars,NC,
Horizon's Edge Winery,WA,
Horton Cellars,VA,
Hosmer Vineyard,NY,
Hourglass,CA,
House Of Marquis,VA,
Houston Vineyards,OR,
Howell Mountain Vineyards,CA,
Huber Cellars,CA,
Huber Orchard & Winery,IN,
Hug Cellars,CA,
Hughes Family Vineyards,CA,
Humanitas Wines,CA,
Hunt Cellars,CA,
Hunt Country Vineyards,NY,
Hunter Chasseur Wine Cellars,CA,
Hunter Hill Wines,CA,
Hunters Valley Winery,PA,
Huntington Wine Cellars,CA,
Hurricane Ridge Winery,WA,
Husch Vineyards,CA,
Husic Vineyards,CA,
Hyatt Vineyards,WA,
Icaria Creek Winery & Vineyards,CA,
Icicle Ridge Winery,WA,
Idylwood Winery,OR,
Il Cuore Wine Cellars,CA,
Illinois River Winery,IL,
Imagery Estate Winery,CA,
Imboden Vineyard,AR,
Indian Creek Village Winery,OK,
Indian Creek Vineyard,IL,
Indian Creek Winery,ID,
Indian Springs Vineyards,CA,
Ingleside Plantation Winery,VA,
Inheritance Valley Vineyards,IL,
Inman Family Wines,CA,
Innovative Winery,NC,
Inspiration Vineyards & Winery,CA,
In Town Winery,KY,
Io Vineyards,CA,
Iridesse,CA,
Iron Horse Vineyards,CA,
Ironstone Vineyards,CA,
Irvin-House Vineyards,SC,
Isenhower Cellars,WA,
It's Your Winery,OH,
Ivan Tamas Winery,CA,
Jacelyn Cellars,CA,
Jaffurs Wine Cellars,CA,
Jake's Fault,CA,
James Arthur Vineyards,NE,
James Johnson Vineyards,CA,
Jamesport Vineyards,NY,
James River Wine Cellars,VA,
Jankris Winery,CA,
Januik Winery,WA,
Jardin Wines,WA,
Jarvis Wines,CA,
Jason's Vineyard,NY,
Jasper Winery,IA,
JC Cellars,CA,
Jefferson Vineyards,VA,
Jeff Runquist Wines,CA,
Jepson Vineyards,CA,
Jeriko Estate,CA,
Jerram Winery,CT,
Jessie's Grove Winery,CA,
Jessup Cellars,CA,
Jest Red Wines,CA,
Jewel Collection Fine Wines,CA,
Jewell Towne Vineyards,NH,
J. Garcia Wine,CA,
Jilbert Winery,OH,
J. Jenkins Winery,CA,
J.K. Carriere,OR,
J. Lohr Winery,CA,
J. Lynne Wines,CA,
JM Cellars,WA,
Jocelyn & Lonen Wines,CA,
Jocelyn Wines,CA,
Jodar Vineyard & Winery,CA,
John Christ Winery,OH,
John Michael Chateau,OR,
Johnson Creek Winery,WA,
Johnson Estate Winery,NY,
Johnston's Winery,NY,
John Tyler Wines,CA,
Jomagrha Winery,MI,
Jonathan Edwards Winery,CT,
Jones Cabin Run Vineyards,WV,
Jones Family Vineyards,CA,
Jordan Estate Winery,CA,
Jory Winery,CA,
Joseph Cerniglia Winery,VT,
Joseph Filippi Winery,CA,
Joseph Narcizo Wines,CA,
Joseph Phelps Vineyards,CA,
Joseph Swan Vineyards,CA,
Joullian Vineyards,CA,
Judd's Hill,CA,
Ju'lianne Cellars,WA,
Juslyn Vineyards,CA,
Jussila Vineyard,CA,
Justin Vineyards & Winery,CA,
J Wine Company,CA,
Kahn Winery,CA,
Kaiser Home Winery,IA,
Kalamar Winery,WA,
Kalin Cellars,CA,
Kamen Wines,CA,
Kana Winery,OR,
Kapcsandy Family Winery,CA,
Kapp Winery,IN,
Karl Lawrence Cellars,CA,
Karly Winery,CA,
Karma Vista Vineyards,MI,
Kathken Vineyards,OR,
Kathryn Hall Vineyards,CA,
Kathryn Kennedy Winery,CA,
Kauffman Winery,IN,
Kaz Vineyard & Winery,CA,
K. Edward Winery,MI,
Keegan Cellars,CA,
Keeling-Schaefer Vineyards,AZ,
Kelham Vineyard,CA,
Keller Estate,CA,
Kelley's Island Wine,OH,
Kelsey See Canyon Vineyards,CA,
Kenco Farms Honey Wines,WV,
Kendall-Jackson Winery,CA,
Kent Rasmussen Winery,CA,
Kenwood Vineyards,CA,
Ken Wright Cellars,OR,
Kerrigan Brothers Winery,WI,
Kestrel Vintners,WA,
Keswick Vineyards,VA,
Keuka Overlook Wine Cellars,NY,
Keuka Spring Vineyards,NY,
Keyways Winery & Vineyard,CA,
Kiepersol Estates,TX,
King Estate Winery,OR,
King Family Vineyards,VA,
King Ferry Winery,NY,
King's Road Winery,NJ,
Kinkead Ridge Estate Winery,OH,
Kiona Vineyards Winery,OR,
Kiona Vineyards & Winery,WA,
Kirkland Ranch Winery,CA,
Kirkwood Winery,WV,
Kishwaukee Ridge,IL,
Kistler Vineyards,CA,
Kit Fox Vineyard,CA,
Klingshirn Winery,OH,
Klipsun Vineyards,WA,
Kluge Estate Winery,VA,
Knapp Winery,NY,
Knipprath Cellars,WA,
Kobalt Wines,CA,
Kodiak Island Winery,AK,
Koehler Winery,CA,
Koenig Distillery & Winery,ID,
Kog Hill Winery,PA,
Kokopelli Winery,AZ,
Korbel Champagne Cellars,CA,
Kosta Browne Winery,CA,
Koves-Newlan Vineyards & Winery,CA,
Kramer Vineyards,OR,
Kreutz Creek Vineyards,PA,
Kristin Hill Winery,OR,
Kuleto Estate Family Vineyards,CA,
Kunde Estate Winery,CA,
Kunin Wines,CA,
K Vintners,WA,
Kynsi Winery,CA,
l'Abeille Honey Winery,VT,
La Belle Amie Vineyard,SC,
La Bete Wines,OR,
La Bodega Winery,TX,
La Buena Vida Vineyards,TX,
La Caille Vineyards & Winery,UT,
La Casa Narcisi,PA,
La Chiripada Winery,NM,
La Crema,CA,
Ladera Vineyards,CA,
La Diosa Cellars,TX,
La Dolce Vita Winery,MO,
Laetitia Vineyard & Winery,CA,
La Famiglia Di Robert Mondavi,CA,
Lafollette Vineyard & Winery,NJ,
Lafond Winery & Vineyards,CA,
La Garza Cellars,OR,
Lago Di Merlo Vineyards & Winery,CA,
Lail Vineyards,CA,
Laird Family Estate,CA,
La Jota Vineyard Co.,CA,
Lake Anna Winery,VA,
Lake Chelan Winery,WA,
Lake Michigan Winery,IN,
Lakeridge Winery & Vineyards,FL,
Lakeshore Winery,NY,
Lakeside Vineyard,OH,
Lake Sonoma Winery,CA,
Lakewood Vineyards,NY,
Laleure Vineyards,OH,
Lambert Bridge Winery,CA,
Lambert's Vintage Wines,WV,
Lamborn Family Vineyards,CA,
Lamoreaux Landing Wine Cellars,NY,
Lancaster County Winery,PA,
Lancaster Estate Winery,CA,
Landmark Vineyards,CA,
"Land Of Nod Winery, The",CT,
Landry Vineyards,LA,
Landwirt Vineyards,VA,
Lane Tanner,CA,
Lange Winery,OR,
Lang & Reed Winery,CA,
Lanthier Winery,IN,
Lapic Winery,PA,
La Querencia Vineyards & Winery,NM,
Larkmead Vineyards,CA,
La Rocca Vineyards,CA,
La Rochelle Winery,CA,
Larry's Vineyard & Winery,NY,
Larson Family Winery,CA,
Lasata Wines,IL,
La Sirena Wines,CA,
Last Chance Winery,NE,
Latah Creek Wine Cellars,WA,
Latcham Vineyards,CA,
La Toscana Winery,WA,
Lauderdale Cellars,TN,
Lau-Nae Winery,IL,
Laura's Vineyard,CA,
Laurel Glen,CA,
Laurel Gray Vineyards,NC,
Laurel Lake Vineyards,NY,
Laurello Vineyards,OH,
Laurel Mountain Vineyard,PA,
Laurel Ridge,OR,
Laurita Vineyards,NJ,
Lautenbach's Orchard Winery,WI,
Lauterbach Cellars,CA,
Lava Cap Winery,CA,
La Velle Winery,OR,
Lavender Crest Winery,IL,
l'Aventure,CA,
La Vida Loca Winery,IA,
La Vina Winery,NM,
Lawton Winery,OR,
Lazy Creek Winery,CA,
Le Cask,CA,
Le Clos Thérèse,NY,
l'Ecole No. 41,WA,
Le Cuvier Winery,CA,
Ledgewood Creek Winery & Vineyards,CA,
Ledson Winery & Vineyards,CA,
Leelanau Wine Cellars,MI,
Leeward Winery,CA,
Lehm Berg Winery,TX,
Leidenfrost Vineyards,NY,
Lemelson Vineyards,OR,
Lemon Creek Winery,MI,
Le Montueux Vineyard & Winery,MI,
Le Mulet Rouge,CA,
"Lenz Winery & Vineyard, The",NY,
Leonardo Family Vineyards,CA,
Leonetti Cellar,WA,
Les Bourgeois Vineyards,MO,
Le Vin Vineyards and Winery,CA,
Lewelling Vineyards,CA,
Lewis Cellars,CA,
Lexington Valley Vineyard,VA,
Lieb Family Cellars,NY,
Lightcatcher Winery,TX,
Lil' Ole Winemaker Shoppe,WI,
Limerick Lane Cellars,CA,
Limestone Creek Winery,IL,
LinCourt Vineyards,CA,
Linden Vineyards,VA,
Linganore Wine Cellars,MD,
Linne Calodo Cellars,CA,
Lions Peak Winery,CA,
Lion Valley Vineyards,OR,
Liparita Cellars,CA,
Little Amana Winery,IA,
Little Ashby Vineyards,MD,
Little Hungary Farm Winery,WV,
Little Swan Lake Winery,IA,
Little Vineyards and Family Winery,CA,
Littorai Wines,CA,
Livingston Moffett Wines,CA,
Llano Estacado Winery,TX,
L. Mawby Vineyards & Winery,MI,
Lockwood Vineyard,CA,
Loew Vineyards,MD,
Logan Ridge Winery & Restaurant,NY,
Lokoya Winery,CA,
Lola Wines,CA,
Lolonis Winery,CA,
Lolo Peak Winery,MT,
Londer Vineyards,CA,
Lone Canary Winery,WA,
Lonen Wines,CA,
Lone Oak Vineyard Estate,MI,
Lone Oak Vineyards,TX,
Lone Star Wine Cellars,TX,
Longboard Vineyards,CA,
Long Hollow Winery,TN,
Long Meadow Ranch,CA,
Long Point Winery,NY,
Long Trout Winery,PA,
Long Vineyards,CA,
Lopez Island Vineyards,WA,
Lorca Wines,CA,
Loring Wine Company,CA,
Los Luceros Winery,NM,
Los Pinos Ranch Vineyards,TX,
Lost Canyon Winery,CA,
Lost Creek Vineyard,TX,
Lost Creek Vineyards & Winery,VA,
Lost Heritage Vineyards,KY,
Lost Mountain Winery,WA,
Lost River Winery,WA,
Loudon Valley Vineyards & Winery,TN,
Loudoun Valley Vineyards,VA,
Loughlin Vineyards,NY,
Louis M Martini Winery,CA,
Louis P. Balducci Vineyards,MO,
Lovers Leap Vineyards,NE,
Lover's Leap Vineyard & Winery,KY,
Lowden Hills Winery,WA,
Lowe's Winery,TN,
Loxton Cellars,CA,
Lucas And Lewellen Vineyards,CA,
Lucas Vineyards,NY,
Lucas Winery,CA,
Ludwigshof,KS,
Luedke's Winery,MN,
Luna Rossa,NM,
Luna Vineyards,CA,
Luttgens Family Vineyards,CA,
l'Uvaggio Di Giacomo,CA,
Lvc Wines,CA,
Lynfred Winery,IL,
Lynmar Winery At Quail Hill Ranch,CA,
Macari Vineyards & Winery,NY,
Mackinaw Valley Vineyard,IL,
Macrostie Winery & Vineyards,CA,
Mac's Creek Vineyards & Winery,NE,
Mademoiselle Vineyards,NM,
Madison Vineyards,IN,
Madison Vineyards & Winery,NM,
Madonna Estate,CA,
Madrigal Vineyards,CA,
Magito Wines,CA,
Magnanini Farm Winery,NY,
Maiolatesi Wine Cellars,PA,
Maison Basque Winery,CA,
Maison De Padgett Winery,WA,
Maloy O'Neill Vineyards,CA,
Malvadino Vineyards,CA,
Manatawny Creek Winery,PA,
Manchego Real,OR,
Mankas Hills Vineyards,CA,
Manor Hill Vineyards,NY,
Manucci Winery,CA,
Maple Creek Winery,CA,
Maple Ridge Vineyards,OH,
Maple River Winery,ND,
Maresh Red Barn,OR,
Mariah,CA,
Marietta Cellars,CA,
Marietta Wine Cellars,OH,
Marilyn Merlot,CA,
Marimar Torres Estate,CA,
Mario Perelli-Minetti Winery,CA,
Market Cellar Winery,WA,
Markham Vineyards,CA,
Markko Vineyard,OH,
Mark West Estate Winery,CA,
Marquam Hill Vineyards,OR,
Marshall's Winery,WA,
Marston Family Vineyard,CA,
Martha Clara Vineyards,NY,
Martin And Weyrich Winery,CA,
Martinelli Winery,CA,
Martin Family Vineyards,CA,
Martini & Prati Winery,CA,
Martin Ray Winery,CA,
Martin-Scott Winery,WA,
Martin's Honey Farm & Meadery,NY,
Martin Vineyards,NC,
Maryhill Winery,WA,
Mason Cellars,CA,
Mason Creek Winery,WI,
Massbach Ridge Winery,IL,
Masset Winery,WA,
Mastantuono Winery,CA,
Matanzas Creek Winery,CA,
Match Vineyards,CA,
Matin Soleil,OR,
Matthews Cellars,WA,
Maui's Winery,HI,
Maurice Car'rie Vineyard & Winery,CA,
Mauritson Vineyards,CA,
Mayacamas Vineyards,CA,
Maydelle Country Wines,TX,
Mayo Family Winery,CA,
Maysara Estate Winery,OR,
Mazza Vineyards,PA,
Mazzocco Vineyards,CA,
McCray Ridge,CA,
McCrea Cellars,WA,
McDowell Valley Vineyards,CA,
McGregor Vineyard Winery,NY,
McHenry Vineyard,CA,
McIlroy Cellars,CA,
McKenzie-Mueller Vineyards And Winery,CA,
McKeon-Phillips Winery,CA,
McKinlay Vineyard,OR,
McLaughlin Vineyards,CT,
McManis Family Vineyards,CA,
McNab Ridge Winery,CA,
McReynolds Wines,TX,
Meador Estate Wines,CA,
Medici Vineyards,OR,
Medlock Ames,CA,
Medovina,CO,
Meeker Vineyards,CA,
Meier's Wine Cellars,OH,
Meinhardt Vineyards & Winery,GA,
Mellea Winery,MA,
Melrose Vineyards,OR,
Melville Vineyards And Winery,CA,
Menghini Winery,CA,
Meola Vineyards and Winery,CA,
Meramec Vineyards,MO,
Meranda Vineyards,OH,
Meridian Vineyards,CA,
Merritt Estate Winery,NY,
Merry Edwards,CA,
Merryvale Vineyards,CA,
Merus Wines,CA,
Messina Family Vineyards,CA,
Messina Hof Winery & Resort,TX,
Metrillo Wine Cellars,OH,
Mettler Family Vineyards,CA,
Meyer Family Cellars,CA,
Meyer Vineyards,NE,
Miceli Vineyards,ID,
Michael Charles Winery,PA,
Michael-David Vineyards,CA,
Michael Martella,CA,
Michael Mercier Winery,CA,
Michael Pozzan Winery,CA,
Michael Shaps Wines,VA,
Michaud Vineyard,CA,
Michel-Schlumberger,CA,
Midnight Cellars,CA,
Mietz Cellars,CA,
Milagro Vineyards,NM,
Milano Family Winery,CA,
Milat Vineyards Winery,CA,
Miles Wine Cellars,NY,
Millbrook Vineyards & Winery,NY,
Mill Creek Vineyards & Winery,CA,
Millenium Wines,NE,
Milliaire Winery,CA,
Miner Family Vineyards,CA,
Minnestalgia Winery,MN,
Minturn Cellars,CO,
"Miramonte Winery, Dba Celebration Cellars",CA,
Mirassou Vineyards,CA,
Mission Meadow Winery,CA,
Mission Mountain Winery,MT,
Mitchell Katz Winery,CA,
Momokawa Sake,OR,
Mon Ami Historic Winery,OH,
Monarch Wine Company,FL,
Montage Cellars,CA,
Montdomaine Cellars,VA,
Monteagle Winery,TN,
Monte Alegre Vineyard,IL,
Mont Elise Vineyards,WA,
Montelle Winery,MO,
Montemaggiore,CA,
Monterey Vineyard,CA,
Monterra Winery,CA,
Montevina Winery,CA,
Monte Volpe Vineyards,CA,
Montezuma Winery,NY,
Monticello Vineyards,CA,
Monticello Vineyards & Winery,FL,
Montinore Vineyards,OR,
Montmorenci Vineyards,SC,
Montserrat Vineyards,MO,
Moondance Cellars,CA,
Moonfeathers Winery,OK,
Moonlight Sparkling Wine Cellar,WA,
Moonrise Bay Vineyard,NC,
Moraga Vineyards,CA,
Morgan Creek Vineyard,MN,
Morgan Creek Vineyards,AL,
Morgan Lake Cellars,OR,
Morgan Winery,CA,
Morovino,CA,
Morrione Vineyards,AL,
Mosby Winery,CA,
Mosher Creek Winery,CA,
Moshin Vineyards,CA,
Moss Creek Winery,CA,
Mountain Cove Vineyards,VA,
Mountain Dome Winery,WA,
Mountain Spirit Winery,CO,
Mountain Valley Vineyards,TN,
Mountain View,OR,
Mountain View Winery,CO,
Mountain Winery,CA,
Mount Baker Vineyards,WA,
Mount Bethel Winery,AR,
Mount Eden Vineyards,CA,
Mount Hope Estate Winery,PA,
Mount Nittany Vineyard & Winery,PA,
Mount Palomar Winery,CA,
Mount Pleasant Winery,MO,
Mount Tamalpais Vineyards,CA,
Moyer Vineyards Winery,OH,
Mt. Vernon Winery,CA,
Mudd Vineyards,NY,
Mueller Winery,CA,
Mulholland Vineyards,CA,
Mumm Cuvee Napa,CA,
Murielle Winery,FL,
Murphy Goode Winery,CA,
Murray's Cyder,CA,
Murrieta's Well Winery,CA,
Mutt Lynch Winery,CA,
Mystic Mountain Vineyard,OR,
Nadeau Family Vintners,CA,
Nagy's New Land Vineyard,NY,
Naked Mountain Vineyards,VA,
Nalle Winery,CA,
Nantucket Vineyard,MA,
Napa Cellars,CA,
Napa Knolls Winery,CA,
Napa Redwoods Estate,CA,
Napa Valley Winery,CA,
Napa Wine Company,CA,
Nashoba Valley Winery & Brewery,MA,
Nashwood Winery,TX,
Nassau Valley Vineyards,DE,
Native Stone Winery,MO,
Native Wines,UT,
Natura Vineyards & Winery,OK,
Navarro Vineyards & Winery,CA,
Naylor Wine Cellars,PA,
Neal Family Vineyards,CA,
Nehalem Bay Winery,OR,
Nelson Estate,CA,
Nevada City Winery,CA,
New Glarus Primrose Winery,WI,
New Hampshire Winery,NH,
New Hope Winery,PA,
New Oak Vineyards,MO,
Newport Vineyards & Winery,RI,
Neyers Vineyards,CA,
Niagara Landing Wine Cellars,NY,
Nichelini Winery,CA,
Nicholas Black River Winery,MI,
Nicholas-Cole Cellars,WA,
Nichols Winery & Cellars,CA,
Nickel & Nickel,CA,
Nicolas Rolin Vineyards,OR,
Niebaum-Coppola Winery,CA,
Nine Gables Vineyard,CA,
Nissley Vineyards,PA,
Noah Vineyards,CA,
Nord Estate Wines,CA,
Norman Vineyards,CA,
North Carolina Waldensian,NC,
Northcote Vineyards,WI,
North Country Apple Winery,NY,
Northern Vineyards,MN,
North Mountain Winery,VA,
North River Winery,VT,
North Salem Vineyard,NY,
Northstar Winery,WA,
Nota Bene Cellars,WA,
Novelty Hill,WA,
Novy Cellars,CA,
Nua Dair,CA,
Nutmeg Vineyards,CT,
Nuyaka Creek Winery,OK,
Oak Arbor Winery,CA,
Oak Crest Winery,VA,
Oakencroft Winery,VA,
Oakford Vineyards,CA,
Oakglenn Vineyards & Winery,MO,
Oak Hills Winery And Vineyards,OK,
Oak Hill Winery,IN,
Oak Hollow Winery,CA,
Oak Knoll Winery,OR,
Oak Ridge Winery,CA,
Oak Spring Winery,PA,
Oakstone Winery,CA,
Oakville Ranch Winery,CA,
Oakwood Cellars,WA,
Oakwood Cellars Winery,OR,
Oasis Vineyards,VA,
Obadiah Mcintyre Farm Winery,MA,
Oberhof Wine Cellars,TX,
Obester Winery,CA,
Obrien Family Vineyard,CA,
Ojai Vineyard,CA,
Old Brookeville Vineyards,NY,
Old Creek Ranch Winery,CA,
Olde Germania Wine Cellars,NY,
Olde Lockeford Winery,CA,
"Old Field Vineyards, The",NY,
Old Firehouse Winery,OH,
Old House Vineyards,VA,
Old Millington Vineyard & Winery,TN,
Old Mill Winery,OH,
Old Mission Peninsula Cellars,MI,
Old North State Winegrowers Cooperative,NC,
Old North State Winery,NC,
Old South Winery,MS,
Old Stone Vineyard & Winery,NC,
Old Town Winery,CA,
Old Town Winery,CO,
Old Wine Cellar Winery,IA,
Oliver Caldwell Cellars,CA,
Oliver Curtis Winery,CA,
Oliver Winery,IN,
Olympic Cellars Winery,WA,
Onondaga Winery,NY,
On The Edge Winery,CA,
Opolo Vineyards,CA,
Opus One Winery,CA,
Orchard Country Winery,WI,
Oregon Cascade Winery,OR,
Oregon Hill Winery,PA,
Orfila Vineyards,CA,
Organic Vintages,CA,
Organic Wine Works,CA,
Origin Napa,CA,
Orlandini Vineyards,IL,
Orogeny Vineyards,CA,
Orr Mountain Winery,TN,
O'Shaughnessy Winery,CA,
Osocalis Winery And Distillery,CA,
Osprey's Dominion Vineyards,NY,
Ottauquechee Valley Winery,VT,
Ottimino Winery,CA,
Outpost Wines,CA,
Owen Roe,OR,
Owen Sullivan Winery,WA,
Owl Creek Vineyard,IL,
Owl Ridge Winery,CA,
Ozeki Sake,CA,
